date,site_id,local_site_name,county,state,site_latitude,site_longitude,station,station_name,daily_max_8hr_ozone,daily_aqi_ozone,daily_obs_count_ozone,percent_complete_ozone,ozone_poc,daily_mean_pm10,daily_aqi_pm10,daily_obs_count_pm10,percent_complete_pm10,pm10_poc,daily_mean_pm25,daily_aqi_pm25,daily_obs_count_pm25,percent_complete_pm25,pm25_poc,daily_max_1hr_no2,daily_aqi_no2,daily_obs_count_no2,percent_complete_no2,no2_poc,awnd,prcp,tmax,tmin,overall_aqi,poor_air_quality,year,month,day_of_week,is_weekend,season,dominant_pollutant
2024-01-25,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.032,30.0,17.0,100.0,1,18.0,17.0,1.0,100.0,3,4.266666666666667,38.0,3.0,100.0,"1,2,21",19.8,18.0,24.0,100.0,1,2.4,0.3,26.7,19.4,38.0,1,2024,1,Thursday,0,Winter,PM2.5
2024-01-26,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.024,22.0,17.0,100.0,1,14.0,13.0,1.0,100.0,3,4.7,29.0,2.0,100.0,"1,21",17.0,16.0,24.0,100.0,1,2.4,0.3,26.7,18.3,29.0,0,2024,1,Friday,0,Winter,PM2.5
2024-01-27,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.016,15.0,17.0,100.0,1,13.0,12.0,1.0,100.0,3,4.15,26.0,2.0,100.0,"1,21",2.6,2.0,24.0,100.0,1,5.5,0.0,27.8,23.3,26.0,0,2024,1,Saturday,1,Winter,PM2.5
2024-01-28,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.018,17.0,17.0,100.0,1,20.0,19.0,1.0,100.0,3,6.133333333333333,40.0,3.0,100.0,"1,2,21",3.5,3.0,24.0,100.0,1,6.9,0.3,26.7,22.8,40.0,1,2024,1,Sunday,1,Winter,PM2.5
2024-01-29,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.019,18.0,17.0,100.0,1,31.0,29.0,1.0,100.0,3,8.4,49.0,2.0,100.0,"1,21",5.7,5.0,22.0,92.0,1,6.1,3.8,27.2,22.2,49.0,1,2024,1,Monday,0,Winter,PM2.5
2024-01-30,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.03,28.0,17.0,100.0,1,19.0,18.0,1.0,100.0,3,5.85,35.0,2.0,100.0,"1,21",30.8,28.0,24.0,100.0,1,2.6,0.0,26.1,19.4,35.0,0,2024,1,Tuesday,0,Winter,PM2.5
2024-01-31,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.034,31.0,17.0,100.0,1,18.0,17.0,1.0,100.0,3,4.966666666666666,32.0,3.0,100.0,"1,2,21",21.6,20.0,24.0,100.0,1,1.7,0.0,27.2,17.8,32.0,0,2024,1,Wednesday,0,Winter,PM2.5
2024-02-01,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.03,28.0,17.0,100.0,1,14.0,13.0,1.0,100.0,3,4.1,25.0,2.0,100.0,"1,21",19.1,18.0,24.0,100.0,1,2.5,0.0,26.1,19.4,28.0,0,2024,2,Thursday,0,Winter,Ozone
2024-02-02,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.045,42.0,17.0,100.0,1,17.0,16.0,1.0,100.0,3,4.75,29.0,2.0,100.0,"1,21",2.6,2.0,24.0,100.0,1,5.2,0.0,25.6,19.4,42.0,1,2024,2,Friday,0,Winter,Ozone
2024-02-03,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.044,41.0,17.0,100.0,1,17.0,16.0,1.0,100.0,3,4.866666666666666,34.0,3.0,100.0,"1,2,21",2.3,2.0,24.0,100.0,1,7.1,0.0,25.0,20.0,41.0,1,2024,2,Saturday,1,Winter,Ozone
2024-02-04,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.043,40.0,17.0,100.0,1,16.0,15.0,1.0,100.0,3,5.35,32.0,2.0,100.0,"1,21",2.6,2.0,24.0,100.0,1,7.8,0.0,27.8,20.0,40.0,1,2024,2,Sunday,1,Winter,Ozone
2024-02-05,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.04,37.0,17.0,100.0,1,22.0,20.0,1.0,100.0,3,6.9,41.0,2.0,100.0,"1,21",8.7,8.0,22.0,92.0,1,6.6,0.3,26.7,19.4,41.0,1,2024,2,Monday,0,Winter,PM2.5
2024-02-06,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.041,38.0,17.0,100.0,1,22.0,20.0,1.0,100.0,3,6.2,39.0,3.0,100.0,"1,2,21",6.0,6.0,24.0,100.0,1,6.3,0.0,27.8,21.1,39.0,1,2024,2,Tuesday,0,Winter,PM2.5
2024-02-07,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.039,36.0,17.0,100.0,1,21.0,19.0,1.0,100.0,3,5.7,34.0,2.0,100.0,"1,21",7.0,7.0,24.0,100.0,1,6.4,0.0,27.8,20.6,36.0,1,2024,2,Wednesday,0,Winter,Ozone
2024-02-08,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.037,34.0,17.0,100.0,1,16.0,15.0,1.0,100.0,3,4.8,27.0,1.0,100.0,1,11.6,10.0,24.0,100.0,1,4.1,0.3,28.3,20.6,34.0,0,2024,2,Thursday,0,Winter,Ozone
2024-02-09,150030010,Kapolei,Honolulu,Hawaii,21.32374479,-158.0886127,USW00022521,"HONOLULU INTERNATIONAL AIRPORT, HI US",0.035,32.0,17.0,100.0,1,11.0,10.0,1.0,100.0,3,1.8499999999999999,18.0,2.0,100.0,"1,2",12.9,11.0,24.0,100.0,1,2.7,0.3,26.7,20.0,32.0,0,2024,2,Friday,0,Winter,Ozone
